# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
（天道が指を鳴らすと\n空中に<ruby=ふゆう>浮遊</ruby>する4本の剣が出現し、\n一斉にノヴァに向かって射出される。）	（天道打了个响指，\n四把<ruby=ふゆう>浮游</ruby>在空中的剑凭空出现，\n同时朝诺瓦射去。）
（ノヴァは飛んでくる<ruby=ひしょうけん>飛翔剣</ruby>をブレードで\n切り払いすべて叩き落とす。）	（诺瓦用刀刃将飞来的<ruby=ひしょうけん>飞翔剑</ruby>\n一一砍落。）
（ノヴァに叩き落とされた<ruby=ひしょうけん>飛翔剣</ruby>は\n推進力を失い地面に次々と突き刺さった。）	（被诺瓦砍落的<ruby=ひしょうけん>飞翔剑</ruby>\n失去推进力，接连插入地面。）
「警告。私に<ruby=ひしょうけん>飛翔剣</ruby>を通用しません。」	“警告。<ruby=ひしょうけん>飞翔剑</ruby>对我无效。”
「確かに。ノヴァさんの反応速度だと\n見切られちゃいますよねえ。」	“确实，以诺瓦小姐的反应速度，\n很容易就会被看穿呢。”
「なので、\nちょっと時間稼ぎさせてもらいます。」	“所以，\n就请让我争取一点时间吧。”
「<ruby=プラズマティック・フィールド>電磁結界</ruby>。」	“<ruby=プラズマティック・フィールド>电磁结界</ruby>。”
（ノヴァに叩き落とされ地面に\n突き刺さった複数の<ruby=ひしょうけん>飛翔剣</ruby>が共鳴し\n電磁フィールドを引き起こす。）	（被诺瓦砍落、插在地上的多把<ruby=ひしょうけん>飞翔剑</ruby>发生共鸣，\n引发\n电磁场。）
「…………ッ！」	“……！”
「エラー。ECMジャマーによる<ruby=でんじかんしょうけんしゅつ>電磁干渉検出</ruby>。\nエーテライトコア出力低下。システムダウン。\n………機体制御不能。」	“错误。检测到 ECM 干扰器造成的<ruby=でんじかんしょうけんしゅつ>电磁干扰</ruby>。\n以太核心输出下降。系统关闭。\n……机体无法控制。”
「フェイリクス。何も<ruby=ひかん>悲観</ruby>する事は無い。\n君は元々廃棄予定の出来損ないだ。\nそれを私が有効活用してやっただけの事。」	“费利克斯，没什么好<ruby=ひかん>悲观</ruby>的。\n你本来就是预定要报废的失败品。\n我只是把你有效利用起来而已。”
「むしろ喜ばしい事だと思わんかね？\n出来損ないで無価値な君が最期に\n<ruby=げっこうけいかく>月光計画</ruby>の<ruby=いしずえ>礎</ruby>となれたのだから。」	“你不觉得这反而值得高兴吗？\n身为失败品、毫无价值的你，最后还能成为\n<ruby=げっこうけいかく>月光计划</ruby>的<ruby=いしずえ>基石</ruby>。”
「ふ……ふふふ……っ。\nふはははははは……っ。」	“呵……呵呵呵……。\n哈哈哈哈哈哈……”
「やはり<ruby=ていこくじゅうこう>帝国重工</ruby>の科学者というのは\nどいつもこいつもクソ野郎だな……ッ。」	“果然<ruby=ていこくじゅうこう>帝国重工</ruby>的科学家\n全都是一群混账……”
「お前達のような奴が居るからッ！\nノエルが犠牲になったんだ！」	“就是因为有你们这种人！\n诺艾尔才会成为牺牲品！”
「お前達さえ居なければ\nノエルは死なずに済んだんだッ！」	“如果没有你们，\n诺艾尔本来就不会死！”
「言ったはずだ。科学の進歩に犠牲は付き物だと。\n仮にノエルとやらが死ななかったとしても\n別の誰かが代わりに犠牲になっただけだ。」	“我说过，科学进步必然伴随牺牲。\n就算那个叫诺艾尔的女孩没有死，\n也只会换成另一个人牺牲。”
「な……ッ！？」	“你……！？”
「貴様ぁああああーーーーーッ！！！」	“你这混蛋啊啊啊啊————！！！”
「影山ぁああああーーーーーッ！！！」	“影山啊啊啊啊————！！！”
「ちょ…っ！二人共落ち着いてくださいッス！」	“等……！你们两个先冷静一下！”
「これが落ち着いていられるか…ッ！\nノエルの死を当たり前の\n犠牲としか思っていない奴に！」	“你叫我怎么冷静……！\n这家伙居然把诺艾尔的死\n只当成理所当然的牺牲！”
「見損なったぜッ！影山ッ！\nテメェがそこまで\nマッドサイエンティストだとはなッ！」	“我真是看错你了！影山！\n没想到你竟然是这种\n疯狂科学家！”
「やれやれ。何故事実を<ruby=の>述</ruby>べただけなのに\nこうも感情的になるのだ。\nこれだから人の心というものは理解に苦しむ。」	“真是的，我不过是<ruby=の>陈述</ruby>事实，\n你们为什么会如此激动？\n人心这种东西真是难以理解。”
「もういい。わかった。\nやはり帝国重工の科学者など生かしておけない。\nここで<ruby=ほうむ>葬</ruby>ってやる。」	“够了，我明白了。\n果然不能让帝国重工的科学家活着。\n我要在这里将你<ruby=ほうむ>葬送</ruby>。”
「ほう。<ruby=しえき>使役</ruby>するオートマタを失った君に\n一体何が出来るというのかね？」	“哦？失去了可以<ruby=しえき>驱使</ruby>的自动人偶，\n你还能做什么？”
「僕は元々<ruby=せいしんかんしょうよう>精神干渉用</ruby>のオートマタとして作られた。\nこの<ruby=だいさんせだいがた>第三世代型</ruby>のボディに対しても僕の能力は有効だ。」	“我本来就是作为<ruby=せいしんかんしょうよう>精神干涉用</ruby>自动人偶制造的。\n即使是这具<ruby=だいさんせだいがた>第三代型</ruby>身体，我的能力也依然有效。”
「精神干渉を<ruby=だいさんせだいがた>第三世代型</ruby>の<ruby=ぎじこんぱく>疑似魂魄</ruby>に行い\nエーテライトコアの<ruby=ゆうごうろ>融合炉</ruby>を反転させる…ッ！」	“我要对<ruby=だいさんせだいがた>第三代型</ruby>的<ruby=ぎじこんぱく>模拟魂魄</ruby>施加精神干涉，\n让以太核心的<ruby=ゆうごうろ>融合炉</ruby>逆转……”
「は？どういう事だ？」	“啊？什么意思？”
「………なるほど。\n<ruby=だいさんせだいがた>第三世代型</ruby>のエーテライトコアは\n<ruby=だいにせだいがた>第二世代型</ruby>の５０倍の出力を有している。」	“……原来如此。\n<ruby=だいさんせだいがた>第三代型</ruby>以太核心的输出功率，\n是<ruby=だいにせだいがた>第二代型</ruby>的50倍。”
「膨大な出力のエーテライトコアの<ruby=ゆうごうろ>融合炉</ruby>を反転させれば\nエーテライトが<ruby=ぼうちょう>膨張</ruby>し半径10kmをにも及ぶ\n大爆発を引き起こすだろう。」	“如果让高输出以太核心的<ruby=ゆうごうろ>融合炉</ruby>逆转，\n以太就会<ruby=ぼうちょう>膨胀</ruby>，引发\n波及半径10公里的大爆炸。”
「フェイリクス……自爆する気ッスか。」	“费利克斯……你打算自爆吗？”
「なんだとぉおおおおーーーッ！！？」	“你说什么——！！？”
「やめろッ！フェイリクスッ！\nここにはユリ姉達が居るんだぞッ！\n関係無い奴等を巻き込むのか！？」	“住手！费利克斯！\n百合姐她们还在这里！\n你要把无关的人也卷进来吗！？”
「ユリヒメ達には申し訳ないと思っているよ。\nでも、仕方ないんだ。<ruby=ていこくじゅうこう>帝国重工</ruby>の科学者は\n<ruby=まっさつ>抹殺</ruby>しなければならない。」	“我很抱歉要连累百合姬她们。\n但我别无选择。<ruby=ていこくじゅうこう>帝国重工</ruby>的科学家\n必须被<ruby=まっさつ>抹杀</ruby>。”
「これはノエルへの<ruby=たむ>手向</ruby>け。\n僕は最期にあの影山という科学者を<ruby=みちづ>道連</ruby>れにする事にしたんだ。\nこれ以上、ノエルのような犠牲者を出さない為にもね。」	“这是献给诺艾尔的<ruby=たむ>祭礼</ruby>。\n我决定在最后把那个叫影山的科学家<ruby=みちづ>带走</ruby>，\n也是为了不再出现诺艾尔这样的牺牲者。”
「ふざけやがって！だからってユリ姉達を\n巻き込むなんざお前も<ruby=ていこくじゅうこう>帝国重工</ruby>の\n科学者共と同じ事をしてるんだぞ！」	“开什么玩笑！就算这样，连累百合姐她们，\n你也和<ruby=ていこくじゅうこう>帝国重工</ruby>那些\n科学家做着同样的事！”
「だから、僕は地獄行くよ。\nあいつと一緒にね。」	“所以，我会下地狱。\n和那家伙一起。”
「開き直ってんじゃねーッ！」	“别摆出一副理所当然的样子！”
「やむを得ねぇッ！\nここでフェイリクスを機能停止させるッ！」	“没办法了！\n必须在这里让费利克斯停止运作！”
（俺は銃口をフェイリクスの<ruby=のうてんめが>脳天目掛</ruby>けて照準を合わせる。）	（我将枪口瞄准费利克斯的<ruby=のうてんめが>头顶</ruby>。）
「おっと。下手な事をしない方がいいよ。\n僕に少しでも衝撃を与えれば、\nすぐさまドカンだ。」	“喂，我劝你别乱来。\n只要让我受到一点冲击，\n马上就会爆炸。”
「ンだとぉ～～～～ッ！！」	“你说什么——！！”
「……<ruby=ばんさくつ>万策尽</ruby>きたか。」	“……已经<ruby=ばんさくつ>无计可施</ruby>了吗。”
「影山テメェえええ～～～ッ！！\n何諦めてんだ！誰のせいでこんな事に\nなったと思ってやがる…ッ！」	“影山你这混蛋——！！\n你凭什么放弃！你以为这一切\n是谁害的吗……！”
「エーテライトコア自爆まで\nカウントダウン開始。」	“距离以太核心自爆，\n开始倒计时。”
「うおおおお！！\nまさかの１０カウントかよ！？\n猶予無さすぎだろ！」	“呜哦哦哦！！\n居然只倒数10秒！？\n时间也太短了吧！”
「どうする！？どうする！？\nせめてユリ姉だけでも\n何とか助けられないか…！？」	“怎么办！？怎么办！？\n至少把百合姐救出去，\n有没有什么办法……！？”
「ふふっ。やはり最後に笑うのは僕のようだね。」	“呵呵，看来笑到最后的还是我。”
「テメェ…ッ！フェイリクスッ！\n何最期に勝ち誇ってんだこの野郎ぉおーーーッ！！」	“你这混蛋……！费利克斯！\n都死到临头了还得意什么啊——！！”
（カウント５秒前のその時、\n突如として謎の飛行物体が現れ、\nフェイリクスを上空へと連れて行く。）	（就在倒计时还剩5秒时，\n一个神秘飞行物体突然出现，\n将费利克斯带向高空。）
「な……なんだ！？」	“什……什么！？”
「あれは……１３号か？」	“那是……13号吗？”
「なにィッ！？」	“什么！？”
「ノエル……！？\n離せ…ッ！一体何をするつもりだ…ッ！？」	“诺艾尔……！？\n放开我……！你到底想做什么……！？”
「フェイリクス！アンタを上空で爆発させるッス！」	“费利克斯！我要让你在高空爆炸！”
「空の上ならエーテライトコアの爆発範囲から\n川島さん達を守れるッスからね！」	“在天上的话，就能让川岛先生他们\n避开以太核心的爆炸范围！”
「な…ッ！馬鹿か君は！？\n早く離れろッ！君まで巻き込まれるぞッ！」	“你……！你傻了吗！？\n快放手！你也会被卷进去的！”
「半径10kmのエーテライト爆弾を使う時点で\nどの口がほざくんスか。」	“都用上爆炸半径10公里的以太炸弹了，\n你有什么资格说这种话。”
「ノエル！君は<ruby=りこう>利口</ruby>だ！\n君だけは飛行ユニットで助かる事を計算して\nこの方法を選んだんだ！」	“诺艾尔！你很<ruby=りこう>聪明</ruby>！\n你算准了自己能靠飞行组件活下来，\n所以才选择这个方法！”
「それなのに自分の命を犠牲にしてまで\nあんな奴等を助けるだなんて！\n君がそこまで馬鹿だなんて思わなかった！」	“可你居然不惜牺牲自己的生命\n去救那种人！\n我没想到你会蠢到这种地步！”
「馬鹿だなー。フェイリクス。\n私が利口だったらとっくに\n研究所から逃げ出してるよ。」	“你才傻呢，费利克斯。\n我要是真聪明，早就\n从研究所逃走了。”
「まさか……ノエル、なのか？」	“难道……你是诺艾尔？”
「うん。ごめんね。フェイリクス。\n私のせいで君に辛い目ばかり\n遭わせちゃったね。」	“嗯。对不起，费利克斯。\n因为我，让你一直\n承受痛苦。”
「ノエル……！ノエル……！\n僕はずっと……！\nずっと君に会いたかった…！」	“诺艾尔……！诺艾尔……！\n我一直……！\n一直都想见你……！”
「でも、今度は私が一緒だから。\n寂しくないよね？」	“但是这次有我陪着你。\n你就不会寂寞了吧？”
「ああ……！もちろんだ……！」	“嗯……！当然……！”
「これが落ち着いていられるかッ！\nこいつのせいでッ！一歩間違えればユリ姉が\n死んでたかもしれないんだぞッ！」	“你叫我怎么冷静！\n都是因为这家伙！要是稍有差池，百合姐\n可能已经死了啊！”
「……電磁干渉で\nエーテライトを麻痺させたか。\n<ruby=こしゃく>小癪</ruby>な真似を。」	“……用电磁干扰让以太麻痹了吗。\n真是<ruby=こしゃく>小伎俩</ruby>。\n”
「さあ、今のうちに逃げますよ。\n川島さん。」	“快趁现在逃吧，\n川岛先生。”
「……わ、わかった。」	“……好、好。”
（俺は振り返りノヴァを<ruby=いちべつ>一瞥</ruby>する。）	（我回头<ruby=いちべつ>瞥</ruby>了诺瓦一眼。）
「エラー。電磁干渉継続中。\n復旧まで残り３００秒……。」	“错误。电磁干扰持续中。\n距离恢复还剩300秒……”
「…………ノヴァ。」	“…………诺瓦。”
「ほらー。川島さん。\n何やってるんですかー？\n置いておきますよー？」	“快点，川岛先生。\n您在磨蹭什么呢？\n要把您丢下咯～？”
「ああ……ッ！」	“啊……！”
「………天道め。\n一体、どういうつもりだ。」	“……天道这家伙。\n到底打的什么主意。”
「というわけで、川島さんの救出は\n成功したのですがノヴァさんは記憶を失い\n影山さんの<ruby=じゅうじゅん>従順</ruby>な配下になってしまったようです。」	“总之，川岛先生是成功救出来了，\n可诺瓦小姐失去了记忆，\n似乎成了影山先生的<ruby=じゅうじゅん>顺从</ruby>部下。”
「……なるほど。\n今の<ruby=きこういん>機巧院</ruby>は我々の知る<ruby=きこういん>機巧院</ruby>では\nないようだな。」	“……原来如此。\n现在的<ruby=きこういん>机巧院</ruby>，\n已经不是我们所认识的<ruby=きこういん>机巧院</ruby>了。”
<Off>悲しみ6	<Off>悲伤6
「ノヴァは何も覚えちゃいなかった…。\n俺の事でさえも……。」	“诺瓦什么都不记得了……\n连我也一样……”
「あれは本当にノヴァなのか…？\n<ruby=むきしつ>無機質</ruby>で感情が無いオートマタの本質、\n一切の<ruby=ちゅうちょ>躊躇</ruby>も迷いも無く俺を殺そうとしやがった…。」	“那真的是诺瓦吗……？\n<ruby=むきしつ>无机质</ruby>、没有感情的自动人偶本质，\n毫不<ruby=ちゅうちょ>犹豫</ruby>地想杀了我……”
「まさに命令通りに動く機械。\n今のあいつはただの殺人マシーンに\nなっちまったんだ…。」	“简直是只会依命令行动的机器。\n\n现在的她已经成了杀人机器……”
「とまぁこんな感じでせっかく元の身体に戻れたのに\nノヴァさんが影山さんに寝取られてしまって\nメンタルがヘラってしまってるんですよねえ。」	“话说回来，明明好不容易恢复了身体，\n诺瓦小姐却被影山先生横刀夺爱，\n精神都变得不稳定了呢。”
「ノヴァ……っ、\nう、うわあ……っ。」	“诺瓦……\n呜、呜哇……”
「天道。貴様はわざと\n川島の傷を<ruby=えぐ>抉</ruby>っているのか？」	“天道。\n你是故意在<ruby=えぐ>揭</ruby>川岛的伤疤吗？”
「いえ、事実を報告しているんですよ。\n私、<ruby=ちょうほうぶ>諜報部</ruby>ですから。」	“不，我只是在汇报事实。\n毕竟我是<ruby=ちょうほうぶ>情报部</ruby>的嘛。”
「報告義務は認めるが貴様はいつも一言多いのだ。」	“我承认你有报告义务，但你总是多嘴一句。”
「それにしても影山め……。\nフェイリクスが起こした一連の事件の<ruby=しゅぼうしゃ>首謀者</ruby>だったとは。\n我々はまんまと<ruby=あざむ>欺</ruby>かれていたわけか。」	“不过影山那家伙……\n没想到他才是费利克斯一连串事件的<ruby=しゅぼうしゃ>主谋</ruby>。\n我们竟然被他<ruby=あざむ>骗得团团转</ruby>。”
「知らずうちに影山さんの計画の\n<ruby=かたぼう>片棒</ruby>を<ruby=かつ>担</ruby>がされていたとは\n一杯食わされましたねえ。」	“没想到我们不知不觉替影山先生的计划<ruby=かたぼう>出力</ruby>了，\n\n真是被<ruby=かつ>摆了一道</ruby>呢。”
「幸い洗脳され人質になっていた者達は\n全員無事だったから良かったものの\n<ruby=いかるがけいさつ>斑鳩警察</ruby>の顔に泥を塗る<ruby=くつじょくてき>屈辱的</ruby>な事件だ。」	“幸好被洗脑、被当作人质的人都平安无事，\n不过这起事件让<ruby=いかるがけいさつ>斑鸠警察</ruby>颜面尽失，\n真是<ruby=くつじょくてき>屈辱</ruby>。”
「このままでは終わらんぞ。\n必ず影山を見つけ出し逮捕してくれる。」	“不能就这么算了。\n我一定会找出影山，把他逮捕归案。”
「天道。影山の<ruby=いどころ>居所</ruby>は掴めているのか？」	“天道。你掌握影山的<ruby=いどころ>下落</ruby>了吗？”
「先ほどまでは<ruby=ていこくじゅうこうほんしゃ>帝国重工本社</ruby>の\n地下実験室に居ましたけど斑鳩警察に\n見つかった以上、姿を<ruby=くら>眩</ruby>ませたでしょうね。」	“刚才他还在<ruby=ていこくじゅうこうほんしゃ>帝国重工总部</ruby>的\n地下实验室，不过既然被斑鸠警察发现，\n应该已经<ruby=くら>逃之夭夭</ruby>了。”
「影山さんは用心深いですからねえ。\n斑鳩警察が指名手配している以上、\nまず表には姿を見せないでしょう。」	“影山先生很谨慎。\n既然被斑鸠警察通缉了，\n肯定不会再抛头露面。”
「つまり、奴が身を隠しているアジトを\n探し出す必要があるという事か。」	“也就是说，\n必须找出他藏身的据点吗？”
「ええ。そちらは私の方で調査を進めておきましょう。」	“嗯，这方面我会继续调查。”
「ほう。いつになく仕事熱心だな。」	“哦？真是难得见你这么卖力工作。”
「影山さんは知らない仲じゃありませんし、\nなによりノヴァさんは我が諜報部の\n諜報員ですからねえ。」	“我和影山先生也不是毫无交情，\n\n而且诺瓦小姐可是我们情报部的情报员嘛。”
「私としても可能であれば\n戻って来て欲しいんですよ。\nノヴァさんに。」	“只要有可能，\n\n我也希望诺瓦小姐能回来。”
「天道……。」	“天道……”
「お前もノヴァを信じてるんだな……。\nお前、いいやつだな……。」	“你也相信诺瓦啊……\n你这人其实挺不错的……”
「ちょっと川島さん。\n急に手のひら返さないでくださいよ。\n<ruby=きしょくわる>気色悪</ruby>いですよ。」	“川岛先生，\n别突然改变态度啊。\n怪<ruby=きしょくわる>恶心</ruby>的。”
「機巧院の斑鳩警察への職場復帰。\n私も願わくば望むところだ。」	“让机巧院回归斑鸠警察。\n我也希望如此。”
「だが、それは今の機巧院の立ち位置上\n難しいところだ。」	“但以机巧院现在的立场，\n这件事很难办。”
「あ？どういう事だ？」	“啊？什么意思？”
「まず我々はフェイリクス事件の首謀者として\n影山を指名手配している。」	“首先，\n我们正以费利克斯事件的主谋身份通缉影山。”
「しかし、\n機巧院は記憶を失っているとはいえ\n影山の配下として行動している。」	“可是，\n机巧院虽然失去了记忆，\n现在仍作为影山的部下行动。”
「つまり、\n機巧院は影山の<ruby=きょうはんしゃ>共犯者</ruby>として\n逮捕または<ruby=はいき>廃棄</ruby>される可能性がある。」	“也就是说，\n机巧院可能会作为影山的<ruby=きょうはんしゃ>共犯</ruby>被捕，\n甚至遭到<ruby=はいき>报废</ruby>。”
「ノヴァを……逮捕……？\n廃棄……だと？」	“逮捕诺瓦……？\n报废……？”
「ふざけんなッ！真田だって知ってるだろッ！\nノヴァは記憶を失って影山に命令されてるだけだッ！\nノヴァを逮捕する道理はねぇだろうがッ！」	“开什么玩笑！真田你也知道吧！\n诺瓦只是失忆后受影山命令而已！\n凭什么逮捕诺瓦！”
「それは当然承知している。\nだが、機巧院はオートマタだ。」	“这点我当然清楚。\n但机巧院是自动人偶。”
「オートマタはマスターの命令に<ruby=じゅんしゅ>順守</ruby>する。\nそしてマスターがオートマタを使用し\n悪事を働けばマスター同様にオートマタも等しく裁かれる。」	“自动人偶必须<ruby=じゅんしゅ>遵守</ruby>主人的命令。\n若主人利用自动人偶作恶，\n自动人偶也会和主人一样受到裁决。”
「つまり、影山さんがノヴァさんを\n使って悪い事したらノヴァさんも\n犯罪者って事ですよ。」	“也就是说，如果影山先生利用诺瓦小姐做坏事，\n\n诺瓦小姐也会被视为罪犯。”
「何故ならオートマタは\n人間にとって道具だから。」	“因为自动人偶对人类而言只是工具。\n”
「例えば人間がナイフで\n傷害事件を犯したとしましょう。\nそのナイフは凶器として扱われ警察が回収します。」	“比如说，人类用刀犯下伤害案件。\n那把刀会被当作凶器，\n由警方回收。”
「つまり、\nノヴァさん……オートマタは\n凶器になり得る可能性があるのです。」	“也就是说，\n诺瓦小姐……自动人偶，\n有可能成为凶器。”
「何……だと……？\nノヴァが……凶器……だと？」	“什么……？\n诺瓦会是……凶器？”
「ふざけるな……ッ！ノヴァは確かに\nオートマタだ…ッ！けど人間だ…ッ！\n心を持った人間なんだよ…ッ！」	“别开玩笑了……诺瓦确实是自动人偶……\n但她也是人……！\n是拥有心的人啊……！”
「それを道具だの凶器だの……ッ！\nお前らには人の心が無いのか……ッ！\nお前らそれでも警察かよ…ッ！？」	“你们却把她说成工具、凶器……！\n你们没有人心吗……！\n你们这样也算警察吗……！？”
「言ったはずだ。\n我々も機巧院が斑鳩警察に戻ってくる事を\n望んでいると。」	“我说过了。\n我们也希望机巧院回到斑鸠警察。\n”
「だが、現代の法では\nオートマタは道具として扱われ裁かれる。\nそれが今の法の限界なのだ。」	“但是按照现代法律，\n自动人偶会作为工具受到审判。\n这就是现行法律的局限。”
「<ruby=だいさんせだいがた>第三世代型</ruby>のように\n人間を<ruby=もほう>模倣</ruby>したオートマタが出始めたのが\nごく最近ですからねえ。」	“像<ruby=だいさんせだいがた>第三代型</ruby>这种<ruby=もほう>模仿</ruby>人类的自动人偶，\n\n出现也不过是最近的事。”
「まだ法の整備も進んでおらず\n我々警察も対応が難しいんですよ。\nオートマタの犯罪というのは。」	“法律还没有完善，\n\n我们警方也很难应对自动人偶犯罪。”
「く……っ。そんな……っ。\nじゃあ……俺はどうしたら……っ。」	“可恶……怎么会……\n那……我该怎么办……”
「川島。お前は今日はもう帰って休め。」	“川岛，你今天先回去休息。”
「…………ッ。」	“…………！”
「真田警部？」	“真田警部？”
「そして、考えろ。\n自分が成すべきを事を。」	“然后，\n好好想想自己该做什么。”
「その答えが出たのなら\nまたここに来るがいい。」	“想出答案后，\n再来这里。”
「いいんですか？真田警部。\n川島さんにチャンスを与えるような事をして。」	“这样好吗，真田警部？\n给川岛先生机会。”
「フェイリクス事件が終わった今、\n川島さんを斑鳩警察に\n関わらせる意味はありません。」	“费利克斯事件已经结束，\n\n让川岛先生继续和斑鸠警察扯上关系没有意义。”
「むしろ、影山さんは\n川島さんを始末しようとしている。」	“更何况，\n影山先生正想杀掉川岛先生。”
「我々、斑鳩警察が川島さんを\n保護すべきだと思いますがねえ。」	“我认为斑鸠警察应该保护川岛先生才对。\n”
「川島の言い分はもっともだ。\n我々、斑鳩警察の仲間である機巧院を\n犯罪者として裁いていいわけがない。」	“川岛说得没错。\n我们不能把身为斑鸠警察同伴的机巧院当作罪犯审判。\n”
「だが、我々が斑鳩警察の\n国家組織である以上\n法のルールに<ruby=そむ>背</ruby>くことはできん。」	“但只要我们斑鸠警察还是国家组织，\n\n就不能<ruby=そむ>违背</ruby>法律规则。”
「しかし、奴は斑鳩警察では無い。\nそして機巧院と共に\nフェイリクス事件を解決した<ruby=こうろうしゃ>功労者</ruby>だ。」	“不过，他不是斑鸠警察的人，\n\n而且还是与机巧院一同解决费利克斯事件的<ruby=こうろうしゃ>功臣</ruby>。”
「川島には選ぶ権利がある。\n機巧院の運命を。」	“川岛有权选择机巧院的命运。\n”
「相変わらず甘いですねえ。\n真田警部。」	“真田警部还是一如既往地心软呢。\n”
「そういうのは私じゃなくて\nちゃんと本人に言った方が\nいいんじゃないですか？」	“这种话不该对我说，\n\n去好好告诉本人不是更好吗？”
「………私はどうやら若者に\n怖がられているらしいからな。」	“……看来年轻人似乎都很怕我。\n”
「あー。それ気にしてました？」	“啊——您还在意这个啊？”
「ようやく帰ったか。ユート。」	“你终于回来了，悠斗。”
「とっくに<ruby=もんげん>門限</ruby>は過ぎているぞ。\nこんな時間まで\nどこをほっつき歩いていたのだ。」	“早就过了<ruby=もんげん>门禁</ruby>时间。\n\n你这么晚跑到哪里去了？”
「ユ、ユリ姉……？\nお、俺の事がわかるのか……？」	“百、百合姐……？\n你认得我吗……？”
「何を言っている？ユート。\nまさかまだ入院時の記憶の<ruby=こんだく>混濁</ruby>があるのか？」	“你在说什么，悠斗？\n难道住院时的记忆还<ruby=こんだく>混乱</ruby>着吗？”
「この反応…っ！ま、間違いない…っ！\n俺の知ってるユリ姉だ……っ！」	“这个反应……没错……！\n是我认识的百合姐……”
「良かった…っ！ユリ姉…っ！\n元に戻ったんだな…っ！」	“太好了……百合姐……！\n你恢复原样了……”
「良かった……っ。\n本当に良かったよぉおお……っ。\nうわああーーーん……っ。」	“太好了……\n真的太好了……\n呜哇啊啊……”
「ちょ……っ。ユート…！？\nなぜ泣く…！？\n一体、どうしたと言うのだ！？」	“等……悠斗！？\n你为什么哭！？\n到底发生了什么！？”
「ユリ姉が死ななくて良かったよぉ…っ！\nユリ姉がユリ姉で良かったぁ……っ！\nもう二度と俺の側から居なくならないでくれぇ…っ！」	“百合姐没死真是太好了……！\n百合姐还是百合姐……！\n别再从我身边消失了……”
「私が死ぬ……？\nユート…！お前、なんかおかしいぞ…っ！？\nちょっと頭冷やして来い……！」	“我会死……？\n悠斗……！你这反应不对劲啊……！\n去冷静一下脑子吧……！”
（声が……する。）	（有声音……）
（聞き覚えのあるこの声は……。）	（这个熟悉的声音是……）
「……ユリ……姉？」	“……百合姐？”
「起きたか。ユート。」	“醒了吗，悠斗。”
「気分はどうだ？\n少しは落ち着いたか？」	“感觉怎么样？\n冷静些了吗？”
<Off>苦笑	<Off>苦笑
「ああ……何とかな。」	“嗯……差不多吧。”
「まったく昨日は驚いたぞ。\n帰ってくるなり、いきなり泣き出しおって。\n何事かと思ったぞ。」	“真是的，昨天吓了我一跳。\n你一回来就突然哭起来，\n我还以为出了什么事。”
<Off>煽り3	<Off>嘲讽3
「家に帰ってくるとユリ姉の出迎えてくれる。\nそんな当たり前の日常が戻って来たのが\n涙が出るほど嬉しかったのさ。」	“回到家能有百合姐出来迎接，\n这种理所当然的日常终于回来了，\n高兴得让我想哭啊。”
「……ユート。\nお前疲れてるんじゃないのか？\n今日、学校休むか？」	“……悠斗，\n你是不是累了？\n今天要不要请假？”
「ああ。嬉しい事言ってくれるじゃないの。\nユリ姉はいつも優しいけど\n今日は特別優しいね。」	“哎呀，百合姐说了句让人开心的话嘛。\n你平时就很温柔，\n今天尤其温柔。”
「……は、はあ。」	“呃、嗯……”
「でも、大丈夫。学校に行くよ。\nいつまでもユリ姉に\n甘えてばかりいられないからね。」	“不过我没事，\n还是去学校吧。\n不能一直依赖百合姐。”
「そ、そうか。それならいいのだが。」	“这、这样啊。那就好。”
（俺はユリ姉と再会出来た喜びを伝えると\nユリ姉はどこか困惑したような\nリアクションをする。）	（我向百合姐诉说重逢的喜悦，\n\n她却露出有些困惑的反应。）
（まぁ、俺からすればユリ姉に会えたのは\n本当に久しぶりなんだけどユリ姉には\nその実感が無いだろう。）	（对我来说，和百合姐重逢已经是久违的事，\n\n但百合姐大概没有这种实感。）
（影山の話じゃ洗脳されていた間の\n記憶はほとんど無いらしいからな。）	（听影山说，\n洗脑期间的记忆几乎都不在了。）
（念の為、ユリ姉に確認しておこうかな。）	（保险起见，还是确认一下百合姐吧。）
「ところでユリ姉。\n最近、何か変わった事あった？」	“对了，百合姐。\n最近有没有发生什么不寻常的事？”
「変わった事？ああ、そういえば\n先日、学校の近くの公園でオートマタの\n暴走事件があったそうだ。」	“不寻常的事？啊，对了，\n\n听说前几天学校附近的公园发生了自动人偶暴走事件。”
「最近は物騒だからな。\nお前も気をつけるのだぞ。」	“最近世道不太平。\n你也要小心。”
（………なるほど。タイミング的に\nユリ姉達がフェイリクスの洗脳されたのは\nオートマタ暴走事件の直後だった。）	（……原来如此。按时间推算，\n\n百合姐她们是在自动人偶暴走事件之后被费利克斯洗脑的。）
（つまり、洗脳されたタイミングからの\n記憶は抜け落ちているという事か。）	（也就是说，\n从被洗脑那一刻起的记忆都被抹掉了。）
「……あと、妙に気になる事があるのだが。」	“……还有件事让我很在意。”
